thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,Thank_You.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.010561599978245795,0.028744300012476742,3.0135928000090644,,,,,,,,,,,,,,,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
0,0,0,"[np.float64(-0.018333333333333333), np.float64(-0.018333333333333333), np.float64(-0.01)]","[np.float64(-0.43666666666666665), np.float64(-0.43666666666666665), np.float64(-0.4666666666666667)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.0690847999649122, 3.3516323999501765, 4.3844511999050155]","[None, None, 'target']",0,0,0,0,3.0774874000344425,,,,,5,3.0448131000157446,3.0774874000344425,3.0774874000344425,0.04484099999535829,7.429367600008845,"[np.float64(-0.018333333333333333), np.float64(-0.018333333333333333), np.float64(-0.01)]","[np.float64(-0.43666666666666665), np.float64(-0.43666666666666665), np.float64(-0.4666666666666667)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.0690847999649122, 3.3516323999501765, 4.3844511999050155]","[None, None, 'target']",,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
1,0,1,[np.float64(0.445)],[np.float64(0.3)],[1],[0],[0],[2.1093694999581203],['target'],1,0,1,0,7.476272700005211,,,,,10,7.453858199995011,7.476272700005211,7.476272700005211,0.02420049998909235,9.563313200022094,[np.float64(0.445)],[np.float64(0.3)],[1],[0],[0],[2.1093694999581203],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
2,0,2,[np.float64(-0.22666666666666666)],[np.float64(0.43166666666666664)],[1],[0],[0],[1.6611890000058338],['target'],2,0,2,0,9.609108399949037,,,,,10,9.585085000027902,9.609108399949037,9.609108399949037,0.021537699969485402,11.24637890001759,[np.float64(-0.22666666666666666)],[np.float64(0.43166666666666664)],[1],[0],[0],[1.6611890000058338],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
3,0,3,[np.float64(-0.12166666666666667)],[np.float64(0.3333333333333333)],[1],[0],[0],[1.4128115000203252],['target'],3,0,3,0,11.275485699996352,,,,,5,11.266510599991307,11.275485699996352,11.275485699996352,0.019871000084094703,12.679423099965788,[np.float64(-0.12166666666666667)],[np.float64(0.3333333333333333)],[1],[0],[0],[1.4128115000203252],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
4,0,4,[np.float64(-0.2)],[np.float64(0.12166666666666667)],[1],[0],[0],[1.7393857000861317],['target'],4,0,4,0,12.725812299991958,,,,,10,12.706122200004756,12.725812299991958,12.725812299991958,0.026419700006954372,14.445583899971098,[np.float64(-0.2)],[np.float64(0.12166666666666667)],[1],[0],[0],[1.7393857000861317],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
5,0,5,[np.float64(-0.07833333333333334)],[np.float64(-0.18333333333333332)],[1],[0],[0],[1.7832059999927878],['target'],5,0,5,0,14.49248739995528,,,,,10,14.477762600057758,14.49248739995528,14.49248739995528,0.03188879997469485,16.261087200022303,[np.float64(-0.07833333333333334)],[np.float64(-0.18333333333333332)],[1],[0],[0],[1.7832059999927878],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
6,0,6,[np.float64(0.12666666666666668)],[np.float64(-0.215)],[1],[0],[0],[1.6009403000352904],['target'],6,0,6,0,16.291886399965733,,,,,5,16.27721480000764,16.291886399965733,16.291886399965733,0.015885300002992153,17.878233899944462,[np.float64(0.12666666666666668)],[np.float64(-0.215)],[1],[0],[0],[1.6009403000352904],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
7,0,7,[np.float64(-0.31833333333333336)],[np.float64(0.055)],[1],[0],[0],[2.2602714999811724],['target'],7,0,7,0,17.92522380000446,,,,,10,17.90111249999609,17.92522380000446,17.92522380000446,0.022671000100672245,20.16148200002499,[np.float64(-0.31833333333333336)],[np.float64(0.055)],[1],[0],[0],[2.2602714999811724],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
8,0,8,[np.float64(-0.335)],[np.float64(0.19666666666666666)],[1],[0],[0],[1.2504949999274686],['target'],8,0,8,0,20.192249199957587,,,,,5,20.176450000028126,20.192249199957587,20.192249199957587,0.014698600047267973,21.427033900050446,[np.float64(-0.335)],[np.float64(0.19666666666666666)],[1],[0],[0],[1.2504949999274686],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
9,0,9,[np.float64(0.1)],[np.float64(0.2733333333333333)],[1],[0],[0],[1.3050166999455541],['target'],9,0,9,0,21.474308399949223,,,,,10,21.455919199972413,21.474308399949223,21.474308399949223,0.028700500028207898,22.761006899992935,[np.float64(0.1)],[np.float64(0.2733333333333333)],[1],[0],[0],[1.3050166999455541],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
10,0,10,[np.float64(0.26666666666666666)],[np.float64(-0.29)],[1],[0],[0],[1.4910443000262603],['target'],10,0,10,0,22.807961100013927,,,,,10,22.785869400016963,22.807961100013927,22.807961100013927,0.02463599992915988,24.27700320002623,[np.float64(0.26666666666666666)],[np.float64(-0.29)],[1],[0],[0],[1.4910443000262603],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
11,0,11,[np.float64(0.1)],[np.float64(-0.22166666666666668)],[1],[0],[0],[1.304161199950613],['target'],11,0,11,0,24.324571699951775,,,,,10,24.307242000009865,24.324571699951775,24.324571699951775,0.03001859993673861,25.611467799986713,[np.float64(0.1)],[np.float64(-0.22166666666666668)],[1],[0],[0],[1.304161199950613],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
12,0,12,[np.float64(0.021666666666666667)],[np.float64(0.29833333333333334)],[1],[0],[0],[2.3092163000255823],['target'],12,0,12,0,25.65751409996301,,,,,10,25.63440720003564,25.65751409996301,25.65751409996301,0.022743599954992533,27.943726300029084,[np.float64(0.021666666666666667)],[np.float64(0.29833333333333334)],[1],[0],[0],[2.3092163000255823],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
13,0,13,[np.float64(0.25)],[np.float64(0.10333333333333333)],[1],[0],[0],[1.2872926000272855],['target'],13,0,13,0,27.973877800046466,,,,,5,27.957316100015305,27.973877800046466,27.973877800046466,0.013388899969868362,29.24470719997771,[np.float64(0.25)],[np.float64(0.10333333333333333)],[1],[0],[0],[1.2872926000272855],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
14,0,14,[np.float64(-0.14333333333333334)],[np.float64(-0.14833333333333334)],[1],[0],[0],[1.4335297000361606],['target'],14,0,14,0,29.27379150001798,,,,,5,29.259323099977337,29.27379150001798,29.27379150001798,0.0144027000060305,30.692964300047606,[np.float64(-0.14333333333333334)],[np.float64(-0.14833333333333334)],[1],[0],[0],[1.4335297000361606],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
15,0,15,"[np.float64(-0.255), np.float64(-0.24666666666666667)]","[np.float64(-0.30833333333333335), np.float64(-0.31166666666666665)]","[1, 1]","[0, 0]","[0, 0]","[1.1513794999336824, 2.866459999931976]","[None, 'target']",15,0,15,0,30.72353189997375,,,,,5,30.708993999985978,30.72353189997375,30.72353189997375,0.015799300046637654,33.57552499999292,"[np.float64(-0.255), np.float64(-0.24666666666666667)]","[np.float64(-0.30833333333333335), np.float64(-0.31166666666666665)]","[1, 1]","[0, 0]","[0, 0]","[1.1513794999336824, 2.866459999931976]","[None, 'target']",,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
16,0,16,[np.float64(-0.305)],[np.float64(-0.015)],[1],[0],[0],[1.6090464000590146],['target'],16,0,16,0,33.606603499967605,,,,,5,33.58596459997352,33.606603499967605,33.606603499967605,0.010278900037519634,35.19514269998763,[np.float64(-0.305)],[np.float64(-0.015)],[1],[0],[0],[1.6090464000590146],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
17,0,17,[np.float64(-0.14666666666666667)],[np.float64(0.11333333333333333)],[1],[0],[0],[1.5115351000567898],['target'],17,0,17,0,35.222636600025,,,,,5,35.21469169994816,35.222636600025,35.222636600025,0.019276399980299175,36.726316199987195,[np.float64(-0.14666666666666667)],[np.float64(0.11333333333333333)],[1],[0],[0],[1.5115351000567898],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
18,0,18,[np.float64(-0.10666666666666667)],[np.float64(0.325)],[1],[0],[0],[1.2025554000865668],['target'],18,0,18,0,36.755906700040214,,,,,5,36.74039339995943,36.755906700040214,36.755906700040214,0.01389589998871088,37.94305899995379,[np.float64(-0.10666666666666667)],[np.float64(0.325)],[1],[0],[0],[1.2025554000865668],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
19,0,19,[np.float64(0.016666666666666666)],[np.float64(0.3433333333333333)],[1],[0],[0],[1.2403007000684738],['target'],19,0,19,0,37.9894617999671,,,,,10,37.969226700020954,37.9894617999671,37.9894617999671,0.025945400004275143,39.20979130000342,[np.float64(0.016666666666666666)],[np.float64(0.3433333333333333)],[1],[0],[0],[1.2403007000684738],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
20,0,20,[np.float64(0.041666666666666664)],[np.float64(0.21)],[1],[0],[0],[1.0768386999843642],['target'],20,0,20,0,39.25619989994448,,,,,5,39.23346380004659,39.25619989994448,39.25619989994448,0.023273500031791627,40.31041140004527,[np.float64(0.041666666666666664)],[np.float64(0.21)],[1],[0],[0],[1.0768386999843642],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
21,0,21,[np.float64(0.19833333333333333)],[np.float64(-0.09333333333333334)],[1],[0],[0],[2.41119910008274],['target'],21,0,21,0,40.38913200004026,,,,,10,40.3649146000389,40.38913200004026,40.38913200004026,0.05432389990892261,42.776214199955575,[np.float64(0.19833333333333333)],[np.float64(-0.09333333333333334)],[1],[0],[0],[2.41119910008274],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
22,0,22,[np.float64(0.056666666666666664)],[np.float64(0.015)],[1],[0],[0],[1.2176180999958888],['target'],22,0,22,0,42.805359399993904,,,,,5,42.7919869000325,42.805359399993904,42.805359399993904,0.015444100019522011,44.00971779995598,[np.float64(0.056666666666666664)],[np.float64(0.015)],[1],[0],[0],[1.2176180999958888],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
23,0,23,[np.float64(0.18666666666666668)],[np.float64(0.49166666666666664)],[1],[0],[0],[2.8655086000217125],['target'],23,0,23,0,44.03842009999789,,,,,5,44.02665000001434,44.03842009999789,44.03842009999789,0.01671080000232905,46.892265300033614,[np.float64(0.18666666666666668)],[np.float64(0.49166666666666664)],[1],[0],[0],[2.8655086000217125],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
24,0,24,[np.float64(0.22166666666666668)],[np.float64(0.15666666666666668)],[1],[0],[0],[1.3135539999930188],['target'],24,0,24,0,46.92160999996122,,,,,5,46.91203050001059,46.92160999996122,46.92160999996122,0.01952859992161393,48.22570269997232,[np.float64(0.22166666666666668)],[np.float64(0.15666666666666668)],[1],[0],[0],[1.3135539999930188],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
25,0,25,[np.float64(-0.3233333333333333)],[np.float64(0.41333333333333333)],[1],[0],[0],[1.2834519000025466],['target'],25,0,25,0,48.254765399964526,,,,,5,48.241434299969114,48.254765399964526,48.254765399964526,0.015501399990171194,49.524975699954666,[np.float64(-0.3233333333333333)],[np.float64(0.41333333333333333)],[1],[0],[0],[1.2834519000025466],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
26,0,26,[np.float64(-0.2733333333333333)],[np.float64(0.3283333333333333)],[1],[0],[0],[1.1937271000351757],['target'],26,0,26,0,49.57122399995569,,,,,10,49.547437499975786,49.57122399995569,49.57122399995569,0.02226700005121529,50.74129040003754,[np.float64(-0.2733333333333333)],[np.float64(0.3283333333333333)],[1],[0],[0],[1.1937271000351757],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
27,0,27,[np.float64(0.4066666666666667)],[np.float64(-0.4216666666666667)],[1],[0],[0],[3.2916335000190884],['target'],27,0,27,0,50.78732390003279,,,,,10,50.76471719995607,50.78732390003279,50.78732390003279,0.023155100061558187,54.05642889998853,[np.float64(0.4066666666666667)],[np.float64(-0.4216666666666667)],[1],[0],[0],[3.2916335000190884],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
28,0,28,[np.float64(0.3383333333333333)],[np.float64(-0.405)],[1],[0],[0],[1.2613942000316456],['target'],28,0,28,0,54.10382269998081,,,,,10,54.07848030002788,54.10382269998081,54.10382269998081,0.021833500009961426,55.34000049997121,[np.float64(0.3383333333333333)],[np.float64(-0.405)],[1],[0],[0],[1.2613942000316456],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
29,0,29,[np.float64(0.09166666666666666)],[np.float64(0.31)],[1],[0],[0],[1.3737113999668509],['target'],29,0,29,0,55.38670280005317,,,,,10,55.36705450003501,55.38670280005317,55.38670280005317,0.026847400004044175,56.74085309996735,[np.float64(0.09166666666666666)],[np.float64(0.31)],[1],[0],[0],[1.3737113999668509],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
30,0,30,"[np.float64(0.385), np.float64(0.39666666666666667)]","[np.float64(-0.4716666666666667), np.float64(-0.4716666666666667)]","[1, 1]","[0, 0]","[0, 0]","[1.9009895999915898, 3.383965600049123]","[None, 'target']",30,0,30,0,56.80379210005049,,,,,10,56.772686399985105,56.80379210005049,56.80379210005049,0.031605100026354194,60.156743700033985,"[np.float64(0.385), np.float64(0.39666666666666667)]","[np.float64(-0.4716666666666667), np.float64(-0.4716666666666667)]","[1, 1]","[0, 0]","[0, 0]","[1.9009895999915898, 3.383965600049123]","[None, 'target']",,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
31,0,31,[np.float64(-0.17)],[np.float64(0.2916666666666667)],[1],[0],[0],[1.728643500013277],['target'],31,0,31,0,60.20310319995042,,,,,5,60.17861930001527,60.20310319995042,60.20310319995042,0.02162570005748421,61.90735090000089,[np.float64(-0.17)],[np.float64(0.2916666666666667)],[1],[0],[0],[1.728643500013277],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
32,0,32,[np.float64(-0.055)],[np.float64(-0.45666666666666667)],[1],[0],[0],[2.8499317000387236],['target'],32,0,32,0,61.952921899966896,,,,,10,61.93919720000122,61.952921899966896,61.952921899966896,0.03161770000588149,64.78924149996601,[np.float64(-0.055)],[np.float64(-0.45666666666666667)],[1],[0],[0],[2.8499317000387236],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
33,0,33,[np.float64(0.4633333333333333)],[np.float64(-0.415)],[1],[0],[0],[1.3743706999812275],['target'],33,0,33,0,64.8357837999938,,,,,5,64.81576320005115,64.8357837999938,64.8357837999938,0.02619919995777309,66.19019270001445,[np.float64(0.4633333333333333)],[np.float64(-0.415)],[1],[0],[0],[1.3743706999812275],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
34,0,34,[np.float64(0.04833333333333333)],[np.float64(-0.41833333333333333)],[1],[0],[0],[1.385797500028275],['target'],34,0,34,0,66.21919309999794,,,,,5,66.20330159994774,66.21919309999794,66.21919309999794,0.012940900051034987,67.58929689996876,[np.float64(0.04833333333333333)],[np.float64(-0.41833333333333333)],[1],[0],[0],[1.385797500028275],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
35,0,35,[np.float64(0.17666666666666667)],[np.float64(0.34)],[1],[0],[0],[2.082476400071755],['target'],35,0,35,0,67.61892619996797,,,,,5,67.60624039999675,67.61892619996797,67.61892619996797,0.016694999998435378,69.6888256999664,[np.float64(0.17666666666666667)],[np.float64(0.34)],[1],[0],[0],[2.082476400071755],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
36,0,36,[np.float64(0.17333333333333334)],[np.float64(-0.45666666666666667)],[1],[0],[0],[1.875782800023444],['target'],36,0,36,0,69.73585449997336,,,,,10,69.71273909998126,69.73585449997336,69.73585449997336,0.023676600074395537,71.58861570002045,[np.float64(0.17333333333333334)],[np.float64(-0.45666666666666667)],[1],[0],[0],[1.875782800023444],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
37,0,37,[np.float64(0.02)],[np.float64(0.37166666666666665)],[1],[0],[0],[2.2078258999390528],['target'],37,0,37,0,71.63463910005521,,,,,10,71.61354080005549,71.63463910005521,71.63463910005521,0.024668000056408346,73.82143969996832,[np.float64(0.02)],[np.float64(0.37166666666666665)],[1],[0],[0],[2.2078258999390528],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
38,0,38,[np.float64(-0.23166666666666666)],[np.float64(0.06166666666666667)],[1],[0],[0],[1.941395999980159],['target'],38,0,38,0,73.86785709997639,,,,,10,73.84650550002698,73.86785709997639,73.86785709997639,0.02485659997910261,75.78799149999395,[np.float64(-0.23166666666666666)],[np.float64(0.06166666666666667)],[1],[0],[0],[1.941395999980159],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
39,0,39,[np.float64(0.11166666666666666)],[np.float64(-0.018333333333333333)],[1],[0],[0],[1.454136100015603],['target'],39,0,39,0,75.81790420005564,,,,,5,75.80099859996699,75.81790420005564,75.81790420005564,0.012765199993737042,77.25524389999919,[np.float64(0.11166666666666666)],[np.float64(-0.018333333333333333)],[1],[0],[0],[1.454136100015603],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
40,0,40,[np.float64(-0.06666666666666667)],[np.float64(0.12)],[1],[0],[0],[1.4374571999069303],['target'],40,0,40,0,77.30106750002597,,,,,5,77.28426069999114,77.30106750002597,77.30106750002597,0.028813500073738396,78.72180489997845,[np.float64(-0.06666666666666667)],[np.float64(0.12)],[1],[0],[0],[1.4374571999069303],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
41,0,41,[np.float64(0.03)],[np.float64(0.23)],[1],[0],[0],[1.232262899982743],['target'],41,0,41,0,78.78379679995123,,,,,10,78.77181870001368,78.78379679995123,78.78379679995123,0.04984250001143664,80.00417129998095,[np.float64(0.03)],[np.float64(0.23)],[1],[0],[0],[1.232262899982743],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
42,0,42,[np.float64(0.16833333333333333)],[np.float64(-0.08333333333333333)],[1],[0],[0],[1.2521756999194622],['target'],42,0,42,0,80.0335704999743,,,,,5,80.01930739998352,80.0335704999743,80.0335704999743,0.014910000027157366,81.27156539994758,[np.float64(0.16833333333333333)],[np.float64(-0.08333333333333333)],[1],[0],[0],[1.2521756999194622],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
43,0,43,[np.float64(-0.15333333333333332)],[np.float64(0.295)],[1],[0],[0],[1.6814736999804154],['target'],43,0,43,0,81.30190269998275,,,,,5,81.28836450004019,81.30190269998275,81.30190269998275,0.016565399942919612,82.96996949997265,[np.float64(-0.15333333333333332)],[np.float64(0.295)],[1],[0],[0],[1.6814736999804154],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
44,0,44,[np.float64(-0.24833333333333332)],[np.float64(-0.415)],[1],[0],[0],[1.954462300054729],['target'],44,0,44,0,83.01660630002152,,,,,10,82.9995902000228,83.01660630002152,83.01660630002152,0.029366800095885992,84.95413229998667,[np.float64(-0.24833333333333332)],[np.float64(-0.415)],[1],[0],[0],[1.954462300054729],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
45,0,45,[np.float64(-0.43)],[np.float64(0.31833333333333336)],[1],[0],[0],[1.9496911000460386],['target'],45,0,45,0,85.01652259996627,,,,,10,84.98593950003851,85.01652259996627,85.01652259996627,0.03155820001848042,86.93569579999894,[np.float64(-0.43)],[np.float64(0.31833333333333336)],[1],[0],[0],[1.9496911000460386],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
46,0,46,[np.float64(-0.37)],[np.float64(0.25)],[1],[0],[0],[1.1994123000185937],['target'],46,0,46,0,86.98270239995327,,,,,10,86.96908800001256,86.98270239995327,86.98270239995327,0.03321640007197857,88.16858689999208,[np.float64(-0.37)],[np.float64(0.25)],[1],[0],[0],[1.1994123000185937],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
47,0,47,[np.float64(0.42833333333333334)],[np.float64(-0.11833333333333333)],[1],[0],[0],[2.1083172999788076],['target'],47,0,47,0,88.21621260000393,,,,,10,88.193764799973,88.21621260000393,88.21621260000393,0.02497400005813688,90.30215410003439,[np.float64(0.42833333333333334)],[np.float64(-0.11833333333333333)],[1],[0],[0],[2.1083172999788076],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
48,0,48,[np.float64(-0.17)],[np.float64(-0.04)],[1],[0],[0],[1.462398200063035],['target'],48,0,48,0,90.34912250004709,,,,,10,90.32396559999324,90.34912250004709,90.34912250004709,0.021623100037686527,91.7864883999573,[np.float64(-0.17)],[np.float64(-0.04)],[1],[0],[0],[1.462398200063035],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
49,0,49,[np.float64(-0.09166666666666666)],[np.float64(0.015)],[1],[0],[0],[1.2121676000533625],['target'],49,0,49,0,91.84918899997137,,,,,10,91.8221637000097,91.84918899997137,91.84918899997137,0.03540409996639937,93.0344018000178,[np.float64(-0.09166666666666666)],[np.float64(0.015)],[1],[0],[0],[1.2121676000533625],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
50,0,50,[np.float64(-0.3516666666666667)],[np.float64(-0.24333333333333335)],[1],[0],[0],[1.658575400011614],['target'],50,0,50,0,93.08173430000897,,,,,10,93.05840129998978,93.08173430000897,93.08173430000897,0.023778699920512736,94.71705289999954,[np.float64(-0.3516666666666667)],[np.float64(-0.24333333333333335)],[1],[0],[0],[1.658575400011614],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
51,0,51,[np.float64(0.06)],[np.float64(0.028333333333333332)],[1],[0],[0],[1.877354700001888],['target'],51,0,51,0,94.76528509997297,,,,,10,94.74057190003805,94.76528509997297,94.76528509997297,0.02333949995227158,96.61805030005053,[np.float64(0.06)],[np.float64(0.028333333333333332)],[1],[0],[0],[1.877354700001888],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
52,0,52,[np.float64(-0.43833333333333335)],[np.float64(-0.47333333333333333)],[1],[0],[0],[1.4520471000578254],['target'],52,0,52,0,96.64804460003506,,,,,5,96.6328966000583,96.64804460003506,96.64804460003506,0.01462500006891787,98.08505430002697,[np.float64(-0.43833333333333335)],[np.float64(-0.47333333333333333)],[1],[0],[0],[1.4520471000578254],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
53,0,53,[np.float64(-0.41833333333333333)],[np.float64(0.4083333333333333)],[1],[0],[0],[1.401562900049612],['target'],53,0,53,0,98.13163389998954,,,,,10,98.11646389996167,98.13163389998954,98.13163389998954,0.031188799999654293,99.51808890001848,[np.float64(-0.41833333333333333)],[np.float64(0.4083333333333333)],[1],[0],[0],[1.401562900049612],['target'],,3,001,2025-09-29_15h36.13.779,Visual Search_3.0,,2025.1.1,59.37427822247842,2025-09-29 15h36.19.162260 +0530,
